"UserPrincipalName","DisplayName","UserId","Role","ApplicationName","ApplicationStatus","ServicePrincipalId","UserCreationStatus","RoleAssignmentStatus","AssignmentId","AppRoleId","PrincipalType","RoleAssignmentCreatedDateTime","ResourceId","ProcessedTimestamp"
"user1@3zmb3n.onmicrosoft.com","user one","0c1dd8d1-8c7c-4c57-9e2e-4771412fca99","admin","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","0dgdDHyMV0yeLkdxQS_KmR8WTpgZrvpCrziyklmrZjM","08363d34-3edb-450e-a909-e0f902c645c1","User","01/04/2025 05:25:04","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:04"
"user2@3zmb3n.onmicrosoft.com","user two","43bc4624-8b02-4a0c-b9a9-e5d44ed2a1b2","reader","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","JEa8QwKLDEq5qeXUTtKhsoCEs8q5UXxDkwU_MJ65FY8","861e30b6-0999-4ec7-a94a-ce389a4050a2","User","01/04/2025 05:25:05","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:06"
"user3@3zmb3n.onmicrosoft.com","user three","7f7ba43e-c862-4e5e-be1b-e56acd319833","admin","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Exists","0dgdDHyMV0yeLkdxQS_KmR8WTpgZrvpCrziyklmrZjM","08363d34-3edb-450e-a909-e0f902c645c1","User","01/04/2025 05:25:04","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:07"
"henriettam@3zmb3n.onmicrosoft.com","henrietta mueller","3edc80c8-fabb-40bc-bf91-615c5922d6d8","admin","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Exists","0dgdDHyMV0yeLkdxQS_KmR8WTpgZrvpCrziyklmrZjM","08363d34-3edb-450e-a909-e0f902c645c1","User","01/04/2025 05:25:04","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:08"
"user5@3zmb3n.onmicrosoft.com","user five","7e7cd61d-16fd-4a4a-8fa3-c78e44ab31fc","report","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","HdZ8fv0WSkqPo8eORKsx_J5Hl9k_Hc9NvjNKp4_QP4s","4e7f6d38-0b01-4163-945a-d197d8fb3353","User","01/04/2025 05:25:09","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:09"
"leeg@3zmb3n.onmicrosoft.com","lee gu","ce173514-79af-4cd4-af05-c12c713d9cee","survey","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","FDUXzq951EyvBcEscT2c7opvvx4PVPBJjlj5IVbWmR8","789b722a-1f19-46ef-9018-21ee306b2399","User","01/04/2025 05:25:10","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:10"
"jonis@3zmb3n.onmicrosoft.com","joni sherman","8a3adb6d-a652-43b0-94a3-4d1fe9f23fe7","audit","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","bds6ilKmsEOUo00f6fI_52zf4qLOexJAuMuSNlfxsfI","5ec11943-2bc4-4a0f-bb17-763dc6f9b41f","User","01/04/2025 05:25:11","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:12"
"user6@3zmb3n.onmicrosoft.com","user six","933ea694-b8cc-449f-87fe-d4a2fb9721cd","support","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","lKY-k8y4n0SH_tSi-5chzY8MVrrEJfRNpczgjT-zwtg","5503e7c6-24c4-4527-ae6e-fe748d3bb7dd","User","01/04/2025 05:25:13","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:13"
"pattif@3zmb3n.onmicrosoft.com","patti fuller","740d59d4-057f-4a6d-838b-a30bf3e31ec4","superadmin","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","1FkNdH8FbUqDi6ML8-MexMwSQacQ0jtNpe06Cch8bFk","c6da3282-4c3a-41a0-b165-e792e35a92b9","User","01/04/2025 05:25:14","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:15"
"user10@3zmb3n.onmicrosoft.com","user ten","bef70523-0bee-40be-9078-357025e47a86","helpdesk","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","IwX3vu4LvkCQeDVwJeR6hlZUJWNtsp1KskcY7yTMt0w","44b4c10b-e661-49cd-bf1d-dafe570f5c2c","User","01/04/2025 05:25:15","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:16"
"user11@3zmb3n.onmicrosoft.com","user eleven","debb8674-02bd-4d58-9516-8c8d0a2615b6","security","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","dIa73r0CWE2VFoyNCiYVtgoO-WqjopBOggUIj8A6Sp0","d30598d0-2586-485a-a366-add0e860c917","User","01/04/2025 05:25:17","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:17"
"miriamg@3zmb3n.onmicrosoft.com","miriam girling","56639f12-7bca-46d6-b4e6-075585c36d02","reader","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Exists","JEa8QwKLDEq5qeXUTtKhsoCEs8q5UXxDkwU_MJ65FY8","861e30b6-0999-4ec7-a94a-ce389a4050a2","User","01/04/2025 05:25:05","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:18"
"user20@3zmb3n.onmicrosoft.com","user twenty","bc191592-a347-4a4b-9fd6-c3c9a4067beb","helpdesk","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Exists","IwX3vu4LvkCQeDVwJeR6hlZUJWNtsp1KskcY7yTMt0w","44b4c10b-e661-49cd-bf1d-dafe570f5c2c","User","01/04/2025 05:25:15","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:19"
"derrick@3zmb3n.onmicrosoft.com","derrick mkenya","3b476862-d4c0-4691-a4cb-8ed0c2cfa999","developer","TestApp","Exists","50df5c9c-5963-4e8e-a260-61448cc93a82","Exists","Created","YmhHO8DUkUaky47Qws-pmdJnPWde4rVFm8Oqv_he7N8","2aa9c69f-fc4a-446e-b198-e16a652d8603","User","01/04/2025 05:25:20","50df5c9c-5963-4e8e-a260-61448cc93a82","2025-04-01 08:25:20"
